,age,ast,blk,drb,fg,fg_2,fg_2_a,fg_3,fg_3_a,fga,ft,fta,gp,gs,mp,orb,pf,player,pos,pts,stl,tov,trb
211,29,141,23,366,384,242,488,142,402,890,161,207,82,52,2142,115,211,Ersan Ilyasova,PF,1071,58,116,481
212,29,224,8,237,204,81,172,123,279,451,50,68,82,26,1972,23,163,Joe Ingles,SF,581,96,107,260
213,19,166,36,257,276,221,499,55,187,686,133,214,79,40,2279,60,158,Brandon Ingram,SF,740,50,116,317
214,24,418,25,178,671,494,979,177,441,1420,297,328,72,72,2525,52,157,Kyrie Irving,PG,1816,83,180,230
215,33,5,0,0,2,2,2,0,1,3,2,2,2,0,33,0,4,Jarrett Jack,PG,6,2,3,0
216,22,3,0,2,3,2,3,1,1,4,3,6,5,0,17,2,0,Demetrius Jackson,PG,10,0,0,4
217,25,19,0,8,13,10,28,3,11,39,6,7,8,1,84,1,5,Pierre Jackson,PG,35,2,3,9
218,26,270,5,92,284,218,493,66,184,677,118,136,52,50,1424,21,129,Reggie Jackson,PG,752,35,114,113
219,32,646,44,543,736,612,1002,124,342,1344,358,531,74,74,2794,97,134,LeBron James,SF,1954,92,303,640
220,32,57,16,203,235,235,470,0,1,471,65,85,66,1,931,75,125,Al Jefferson,C,535,19,33,278
221,36,78,10,174,153,91,157,62,186,343,80,108,79,13,1614,28,153,Richard Jefferson,SF,448,26,52,202
222,25,1,0,1,2,1,3,1,2,5,2,2,4,0,13,0,0,John Jenkins,SG,7,0,0,1
223,27,395,5,167,192,113,283,79,252,535,114,152,81,13,1802,29,116,Brandon Jennings,PG,577,70,128,196
224,29,71,17,213,114,69,132,45,130,262,26,37,78,6,1232,60,122,Jonas Jerebko,PF,299,26,39,273
225,29,140,62,248,213,186,304,27,66,370,67,100,80,77,1608,117,211,Amir Johnson,PF,520,52,77,365
226,22,1,1,2,2,2,7,0,0,7,0,0,3,0,9,1,0,Brice Johnson,PF,4,2,1,3
227,29,276,86,309,368,281,513,87,256,769,152,215,76,5,2085,66,197,James Johnson,PF,975,76,171,375
228,35,144,18,209,273,167,368,106,258,626,63,77,78,14,1843,33,93,Joe Johnson,SF,715,36,69,242
229,20,105,24,153,129,84,211,45,154,365,36,53,77,1,1371,36,121,Stanley Johnson,SF,339,56,71,189
230,24,233,44,243,357,264,574,93,250,824,195,254,73,0,2178,50,176,Tyler Johnson,PG,1002,84,90,293
231,29,23,30,155,73,44,82,29,118,200,11,17,68,3,810,26,83,Wesley Johnson,SF,186,29,18,181
232,21,359,56,506,494,449,715,45,139,854,188,228,73,59,2038,212,214,Nikola Jokic,C,1221,61,171,718
233,36,1,0,1,3,3,6,0,2,8,3,4,1,0,12,1,1,Dahntay Jones,SF,9,0,1,2
234,21,0,4,14,8,8,16,0,0,16,3,10,10,0,85,9,15,Damian Jones,C,19,1,6,23
235,19,12,13,40,68,65,110,3,11,121,29,41,32,8,545,39,63,Derrick Jones,SF,168,14,13,79
236,36,14,10,35,44,13,26,31,66,92,13,20,48,2,381,3,37,James Jones,SF,132,7,10,38
237,25,58,54,241,231,212,416,19,75,491,103,170,54,12,1270,65,67,Terrence Jones,PF,584,40,48,306
238,20,156,5,57,75,49,108,26,73,181,33,43,60,0,774,10,50,Tyus Jones,PG,209,47,38,67
239,28,96,135,817,412,412,575,0,2,577,205,425,81,81,2570,297,212,DeAndre Jordan,C,1029,52,116,1114
240,25,265,13,184,299,251,526,48,135,661,94,122,80,22,2003,51,140,Cory Joseph,SG,740,66,108,235
241,23,162,34,279,320,204,448,116,354,802,118,156,75,16,1954,57,139,Frank Kaminsky,C,874,47,76,336
242,24,67,38,287,402,397,699,5,38,737,224,285,72,0,1533,195,154,Enes Kanter,C,1033,32,123,482
243,25,8,5,17,8,4,18,4,10,28,5,6,16,0,110,1,5,Ryan Kelly,PF,25,4,4,18
244,23,114,77,409,295,294,609,1,9,618,152,194,81,81,2349,156,187,Michael Kidd-Gilchrist,SF,743,81,56,565
245,27,157,6,258,305,200,427,105,308,735,204,242,70,24,1754,22,118,Sean Kilpatrick,SG,919,46,136,280
246,25,130,5,93,209,164,386,45,139,525,132,154,54,5,1140,25,87,Brandon Knight,SG,595,27,89,118
247,35,110,21,179,239,77,156,162,359,515,38,42,67,22,1753,8,107,Kyle Korver,SG,678,34,69,187
248,27,47,48,285,216,216,391,0,1,392,38,62,71,62,1419,118,172,Kosta Koufos,C,470,36,61,403
249,27,69,11,79,158,104,201,54,168,369,55,68,68,5,1016,47,79,Mindaugas Kuzminskas,SF,425,29,51,126
250,20,27,13,111,117,114,210,3,8,218,52,74,33,12,612,51,64,Skal Labissiere,PF,289,16,37,162
251,24,75,23,234,226,185,345,41,146,491,110,129,62,5,1143,30,98,Jeremy Lamb,SG,603,27,40,264
252,27,28,1,9,20,10,20,10,27,47,9,9,18,3,174,1,19,Nicolas Laprovittola,PG,59,4,19,10
253,25,70,6,179,148,115,238,33,98,336,46,73,70,1,980,72,83,Joffrey Lauvergne,PF-C,375,25,56,251
254,21,139,10,141,326,206,400,120,310,710,117,140,47,47,1749,18,104,Zach LaVine,SG,889,41,85,159
255,29,335,6,135,237,203,404,34,118,522,173,217,69,24,1732,44,119,Ty Lawson,PG,681,74,129,179
256,22,11,3,18,26,13,38,13,51,89,13,17,35,1,249,6,22,Jake Layman,SF,78,9,11,24
257,31,179,23,207,321,213,435,108,269,704,85,98,77,74,2459,53,141,Courtney Lee,SG,835,81,69,260
258,33,124,40,292,248,248,420,0,0,420,80,113,79,10,1477,148,125,David Lee,PF,576,31,82,440
